127.0.0.1, 2016-01-29 15:30:32, GET, /, HTTP/1.1, 303, 0.002111
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001399
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001722
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001212
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/css/calendar.css, HTTP/1.1, 304, 0.001644
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/js/jquery.js, HTTP/1.1, 304, 0.000666
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/js/calendar.js, HTTP/1.1, 304, 0.000673
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/js/web2py.js, HTTP/1.1, 304, 0.000363
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000363
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/js/share.js, HTTP/1.1, 304, 0.000324
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000537
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000292
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/images/twitter.png, HTTP/1.1, 304, 0.000802
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/images/facebook.png, HTTP/1.1, 304, 0.000441
127.0.0.1, 2016-01-29 15:36:57, GET, /Roadee/static/images/gplus-32.png, HTTP/1.1, 304, 0.000901
127.0.0.1, 2016-01-29 15:44:57, GET, /, HTTP/1.1, 400, 0.000417
127.0.0.1, 2016-01-29 15:44:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000475
127.0.0.1, 2016-01-29 15:44:57, GET, /, HTTP/1.1, 400, 0.000232
127.0.0.1, 2016-01-29 15:44:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2016-01-29 15:45:03, GET, /, HTTP/1.1, 400, 0.000372
127.0.0.1, 2016-01-29 15:45:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2016-01-29 15:45:20, GET, /, HTTP/1.1, 400, 0.000246
127.0.0.1, 2016-01-29 15:45:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000364
127.0.0.1, 2016-01-29 15:45:24, GET, /, HTTP/1.1, 400, 0.000352
127.0.0.1, 2016-01-29 15:45:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000354
127.0.0.1, 2016-01-29 15:45:27, GET, /, HTTP/1.1, 400, 0.000267
127.0.0.1, 2016-01-29 15:45:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000255
127.0.0.1, 2016-01-29 15:45:29, GET, /, HTTP/1.1, 400, 0.000218
127.0.0.1, 2016-01-29 15:45:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2016-01-29 15:45:36, GET, /, HTTP/1.1, 200, 0.070150
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002421
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/jquery.js, HTTP/1.1, 304, 0.001727
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001306
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001302
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/css/calendar.css, HTTP/1.1, 304, 0.002163
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/web2py.js, HTTP/1.1, 304, 0.000519
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/calendar.js, HTTP/1.1, 304, 0.004305
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000936
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000536
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/js/share.js, HTTP/1.1, 304, 0.000743
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/images/background.jpg, HTTP/1.1, 304, 0.000836
127.0.0.1, 2016-01-29 15:45:36, GET, /Roadee/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000561
127.0.0.1, 2016-01-29 15:45:37, GET, /Roadee/static/images/twitter.png, HTTP/1.1, 304, 0.001120
127.0.0.1, 2016-01-29 15:45:37, GET, /Roadee/static/images/facebook.png, HTTP/1.1, 304, 0.000588
127.0.0.1, 2016-01-29 15:45:37, GET, /Roadee/static/images/gplus-32.png, HTTP/1.1, 304, 0.001124
127.0.0.1, 2016-01-29 15:46:05, GET, /, HTTP/1.1, 200, 0.008766
127.0.0.1, 2016-01-29 15:46:05, GET, /favicon.ico, HTTP/1.1, 404, 0.000393
127.0.0.1, 2016-01-29 18:13:37, GET, /, HTTP/1.1, 303, 0.002734
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.073147
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001620
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001344
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000797
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001416
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001907
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000914
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001350
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001048
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002622
127.0.0.1, 2016-01-29 18:13:37, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2016-01-29 18:13:38, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000712
127.0.0.1, 2016-01-29 18:13:38, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000501
127.0.0.1, 2016-01-29 18:13:38, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000479
127.0.0.1, 2016-01-29 18:13:38, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000944
127.0.0.1, 2016-01-29 18:13:38, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000837
127.0.0.1, 2016-01-29 18:14:50, GET, /admin/default/site, HTTP/1.1, 303, 0.046539
127.0.0.1, 2016-01-29 18:14:50, GET, /admin/default/index, HTTP/1.1, 200, 0.029028
127.0.0.1, 2016-01-29 18:14:51, POST, /admin/default/index, HTTP/1.1, 303, 0.033686
127.0.0.1, 2016-01-29 18:14:52, GET, /admin/default/site, HTTP/1.1, 200, 0.033322
127.0.0.1, 2016-01-29 18:14:52, POST, /admin/default/check_version, HTTP/1.1, 200, 0.639436
127.0.0.1, 2016-01-29 18:15:07, POST, /admin/default/site, HTTP/1.1, 303, 0.193511
127.0.0.1, 2016-01-29 18:15:07, GET, /admin/default/site, HTTP/1.1, 200, 0.035076
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/default/index, HTTP/1.1, 200, 0.056789
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001417
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 200, 0.000694
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001173
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001850
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/css/myapp.css, HTTP/1.1, 200, 0.001493
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001138
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/js/jquery.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/css/calendar.css, HTTP/1.1, 200, 0.000924
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/js/web2py.js, HTTP/1.1, 200, 0.000435
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001245
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/js/calendar.js, HTTP/1.1, 200, 0.002439
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000916
127.0.0.1, 2016-01-29 18:15:10, GET, /Discuss/static/js/ractive.min.js, HTTP/1.1, 200, 0.000961
127.0.0.1, 2016-01-29 18:15:11, POST, /Discuss/default/load_discussions, HTTP/1.1, 200, 0.021403
127.0.0.1, 2016-01-29 18:15:17, GET, /Discuss/static/images/favicon.ico, HTTP/1.1, 200, 0.000306
127.0.0.1, 2016-01-29 18:15:24, POST, /Discuss/default/search_discussions, HTTP/1.1, 200, 0.022810
127.0.0.1, 2016-01-29 18:15:32, POST, /Discuss/default/search_discussions, HTTP/1.1, 200, 0.022697
127.0.0.1, 2016-01-29 18:15:34, POST, /Discuss/default/load_discussions, HTTP/1.1, 200, 0.020760
127.0.0.1, 2016-01-29 18:15:36, GET, /Discuss/default/discussion/c662d0cc-ded6-4065-8475-7609f6ad5d9d, HTTP/1.1, 200, 0.025431
127.0.0.1, 2016-01-29 18:15:36, GET, /Discuss/static/fullcalendar-2.5.0/fullcalendar.css, HTTP/1.1, 200, 0.000911
127.0.0.1, 2016-01-29 18:15:36, GET, /Discuss/static/fullcalendar-2.5.0/lib/moment.min.js, HTTP/1.1, 200, 0.001084
127.0.0.1, 2016-01-29 18:15:36, GET, /Discuss/static/fullcalendar-2.5.0/fullcalendar.min.js, HTTP/1.1, 200, 0.001241
127.0.0.1, 2016-01-29 18:15:36, GET, /Discuss/static/fullcalendar-2.5.0/fullcalendar.print.css, HTTP/1.1, 200, 0.000970
127.0.0.1, 2016-01-29 18:15:36, GET, /Discuss/static/fullcalendar-2.5.0/lib/jquery.min.js, HTTP/1.1, 200, 0.001447
127.0.0.1, 2016-01-29 18:15:37, POST, /Discuss/default/load_single_discussion, HTTP/1.1, 200, 0.044581
127.0.0.1, 2016-01-29 18:15:37, POST, /Discuss/default/load_posts, HTTP/1.1, 200, 0.044423
127.0.0.1, 2016-01-29 18:15:42, POST, /Discuss/default/load_posts, HTTP/1.1, 200, 0.024012
127.0.0.1, 2016-01-29 18:15:44, POST, /Discuss/default/load_members, HTTP/1.1, 200, 0.022386
127.0.0.1, 2016-01-29 18:15:47, POST, /Discuss/default/load_posts, HTTP/1.1, 200, 0.023758
127.0.0.1, 2016-01-29 18:15:52, POST, /Discuss/default/load_posts, HTTP/1.1, 200, 0.026180
127.0.0.1, 2016-01-29 18:15:54, GET, /Discuss/default/post/b7e85d1d-557e-4416-982c-93813e503280, HTTP/1.1, 200, 0.022560
127.0.0.1, 2016-01-29 18:15:54, POST, /Discuss/default/load_single_post, HTTP/1.1, 200, 0.078907
127.0.0.1, 2016-01-29 18:15:54, POST, /Discuss/default/update_views, HTTP/1.1, 200, 0.080787
127.0.0.1, 2016-01-29 18:15:54, POST, /Discuss/default/load_replies, HTTP/1.1, 200, 0.084313
127.0.0.1, 2016-01-29 18:15:54, POST, /Discuss/default/load_discussion_from_post, HTTP/1.1, 200, 0.086571
127.0.0.1, 2016-01-29 18:15:57, GET, /Discuss/default/index, HTTP/1.1, 200, 0.021633
127.0.0.1, 2016-01-29 18:15:57, POST, /Discuss/default/load_discussions, HTTP/1.1, 200, 0.019819
127.0.0.1, 2016-01-29 18:16:01, GET, /Discuss/default/discussion/c662d0cc-ded6-4065-8475-7609f6ad5d9d, HTTP/1.1, 200, 0.023600
127.0.0.1, 2016-01-29 18:16:01, POST, /Discuss/default/load_single_discussion, HTTP/1.1, 200, 0.050669
127.0.0.1, 2016-01-29 18:16:01, POST, /Discuss/default/load_posts, HTTP/1.1, 200, 0.051851
127.0.0.1, 2016-01-29 18:16:04, GET, /Discuss/default/post/b7e85d1d-557e-4416-982c-93813e503280, HTTP/1.1, 200, 0.024000
127.0.0.1, 2016-01-29 18:16:04, POST, /Discuss/default/load_single_post, HTTP/1.1, 200, 0.089481
127.0.0.1, 2016-01-29 18:16:04, POST, /Discuss/default/update_views, HTTP/1.1, 200, 0.094602
127.0.0.1, 2016-01-29 18:16:04, POST, /Discuss/default/load_discussion_from_post, HTTP/1.1, 200, 0.095549
127.0.0.1, 2016-01-29 18:16:04, POST, /Discuss/default/load_replies, HTTP/1.1, 200, 0.095328
127.0.0.1, 2016-01-29 18:16:09, GET, /Discuss/default/index, HTTP/1.1, 200, 0.022691
127.0.0.1, 2016-01-29 18:16:09, POST, /Discuss/default/load_discussions, HTTP/1.1, 200, 0.021595
127.0.0.1, 2016-01-29 18:22:38, GET, /, HTTP/1.1, 500, 0.117477
127.0.0.1, 2016-01-29 18:23:01, GET, /, HTTP/1.1, 200, 0.074594
127.0.0.1, 2016-01-29 18:23:08, GET, /Discuss/default/index, HTTP/1.1, 200, 0.053467
127.0.0.1, 2016-01-29 18:23:08, POST, /Discuss/load_discussions, HTTP/1.1, 200, 0.022890
127.0.0.1, 2016-01-29 18:28:27, GET, /, HTTP/1.1, 200, 0.014033
127.0.0.1, 2016-01-29 18:28:28, GET, /, HTTP/1.1, 200, 0.011515
127.0.0.1, 2016-01-29 18:28:33, GET, /, HTTP/1.1, 200, 0.014520
127.0.0.1, 2016-01-29 18:39:09, GET, /, HTTP/1.1, 200, 0.015816
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/css/bootstrap-theme.min.css, HTTP/1.1, 404, 0.000706
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/css/myapp.css, HTTP/1.1, 404, 0.001717
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 404, 0.001197
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/css/calendar.css, HTTP/1.1, 304, 0.001572
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000806
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000982
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001149
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/js/jquery.js, HTTP/1.1, 304, 0.000508
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/js/calendar.js, HTTP/1.1, 304, 0.000464
127.0.0.1, 2016-01-29 18:39:09, GET, /Roadee/static/js/web2py.js, HTTP/1.1, 304, 0.000355
127.0.0.1, 2016-01-29 18:39:10, GET, /Roadee/static/images/favicon.ico, HTTP/1.1, 200, 0.000604
127.0.0.1, 2016-01-29 18:41:16, GET, /, HTTP/1.1, 200, 0.015011
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/css/myapp.css, HTTP/1.1, 404, 0.001206
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/css/bootstrap-theme.min.css, HTTP/1.1, 404, 0.001572
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 404, 0.002011
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/js/scripts.js, HTTP/1.1, 404, 0.001429
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001922
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002030
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/js/jquery.js, HTTP/1.1, 304, 0.001748
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/css/calendar.css, HTTP/1.1, 304, 0.001083
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001487
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/js/calendar.js, HTTP/1.1, 304, 0.001132
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/js/web2py.js, HTTP/1.1, 304, 0.001223
127.0.0.1, 2016-01-29 18:41:16, GET, /Roadee/static/images/favicon.ico, HTTP/1.1, 200, 0.000436
127.0.0.1, 2016-01-29 18:41:42, GET, /, HTTP/1.1, 200, 0.013898
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 404, 0.000752
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/css/myapp.css, HTTP/1.1, 404, 0.000368
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001226
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/css/bootstrap-theme.min.css, HTTP/1.1, 404, 0.001771
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001447
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001583
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/js/web2py.js, HTTP/1.1, 304, 0.001279
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/css/calendar.css, HTTP/1.1, 304, 0.003275
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/js/calendar.js, HTTP/1.1, 304, 0.000581
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/js/jquery.js, HTTP/1.1, 304, 0.002224
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/js/scripts.js, HTTP/1.1, 404, 0.001541
127.0.0.1, 2016-01-29 18:41:42, GET, /Roadee/static/images/favicon.ico, HTTP/1.1, 200, 0.000443
127.0.0.1, 2016-01-29 18:41:43, GET, /, HTTP/1.1, 200, 0.016059
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/css/myapp.css, HTTP/1.1, 404, 0.000279
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/css/bootstrap-theme.min.css, HTTP/1.1, 404, 0.000473
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 404, 0.000851
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000905
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001406
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/js/web2py.js, HTTP/1.1, 304, 0.000773
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/js/jquery.js, HTTP/1.1, 304, 0.001607
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/js/calendar.js, HTTP/1.1, 304, 0.000844
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003379
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/css/calendar.css, HTTP/1.1, 304, 0.000575
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/js/scripts.js, HTTP/1.1, 404, 0.001963
127.0.0.1, 2016-01-29 18:41:43, GET, /Roadee/static/images/favicon.ico, HTTP/1.1, 200, 0.000404
127.0.0.1, 2016-01-29 18:46:04, GET, /Roadee/static/css/bootstrap-theme.min.css, HTTP/1.1, 404, 0.000345
127.0.0.1, 2016-01-29 18:46:04, GET, /Roadee/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 404, 0.000551
127.0.0.1, 2016-01-29 18:46:04, GET, /Roadee/static/css/myapp.css, HTTP/1.1, 404, 0.000670
127.0.0.1, 2016-01-29 18:47:05, GET, /, HTTP/1.1, 200, 0.017065
127.0.0.1, 2016-01-29 18:47:15, GET, /Roadee/static/js/scripts.js, HTTP/1.1, 404, 0.000324
127.0.0.1, 2016-01-29 18:54:55, GET, /, HTTP/1.1, 200, 0.024774
127.0.0.1, 2016-01-29 18:54:55, GET, /Roadee/static/css/bootstrap-theme.min.css, HTTP/1.1, 404, 0.000514
127.0.0.1, 2016-01-29 18:54:55, GET, /Roadee/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 404, 0.002330
127.0.0.1, 2016-01-29 18:54:55, GET, /Roadee/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001355
127.0.0.1, 2016-01-29 18:54:55, GET, /Roadee/static/css/myapp.css, HTTP/1.1, 404, 0.000700
127.0.0.1, 2016-01-29 18:54:55, GET, /Roadee/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001946
127.0.0.1, 2016-01-29 18:54:55, GET, /Roadee/static/js/jquery.js, HTTP/1.1, 304, 0.002219
127.0.0.1, 2016-01-29 18:54:55, GET, /Roadee/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003986
